,trader_name,daily_roi,weekly_roi,monthly_roi,all_roi,daily_pnl,weekly_pnl,monthly_pnl,all_pnl,number_of_trade,traded_open_dates,traded_symbols,traded_leverages,traded_types,traded_size,traded_open_price,traded_market_price,trade_pnl,trade_roi
796,TreeOfAlpha1,0.00%,+0.12%,-6.87%,"+1,218.31%",-0.00,"+1,180.59","-61,627.40","+4,621,155.92",0,[],[],[],[],[],[],[],[],[]
797,elonier,-1.54%,-3.13%,+9.60%,+18.68%,"-12,643.60","-26,046.54","+72,856.94","+806,918.82",0,[],[],[],[],[],[],[],[],[]
798,Anonymous User-1a8e8,0.00%,0.00%,-82.36%,-167.09%,0.00,0.00,"-283,308.50","-1,106,067.35",0,[],[],[],[],[],[],[],[],[]
799,0xKyd,-3.25%,+7.55%,-3.86%,+73.52%,"-36,502.25","+76,227.51","-70,037.97","+2,040,975.84",2,"['2022-12-31 02:17:23', '2022-12-31 02:08:20']","['LTCUSDT Perpetual', 'LTCBUSD Perpetual']","['10x', '5x']","['Long', 'Long']","['10458.539', '3207.48']","['67.10', '67.052052']","['67.73', '67.691142']","['6,587.05', '2,049.87']","['(5.8098%)', '(3.0012%)']"
800,Anonymous User-016ab5,-13.10%,-8.39%,-43.08%,-149.22%,-59.67,-36.24,-299.65,"-9,055.29",13,"['2022-12-31 00:06:39', '2022-12-17 15:04:43', '2022-12-30 17:04:24', '2022-12-22 23:14:21', '2022-12-17 03:20:28', '2022-11-15 09:44:02', '2022-11-08 20:28:48', '2022-12-30 10:11:29', '2022-12-30 20:39:50', '2022-12-25 03:56:01', '2022-12-30 16:20:54', '2022-12-30 22:14:34', '2022-12-30 08:40:59']","['BNBUSDT Perpetual', 'DOGEUSDT Perpetual', 'TRXUSDT Perpetual', 'XLMUSDT Perpetual', 'KSMUSDT Perpetual', 'ATOMUSDT Perpetual', 'SOLUSDT Perpetual', 'CRVUSDT Perpetual', 'ETHUSDT Perpetual', 'EGLDUSDT Perpetual', 'NEARUSDT Perpetual', 'BTCUSDT Perpetual', 'DYDXUSDT Perpetual']","['50x', '25x', '25x', '10x', '50x', '25x', '50x', '20x', '75x', '20x', '20x', '75x', '20x']","['Short', 'Short', 'Short', 'Short', 'Long', 'Short', 'Short', 'Long', 'Short', 'Short', 'Long', 'Short', 'Long']","['6.65', '724', '13395', '1172', '0.5', '6.95', '1', '184.7', '2.113', '3.3', '371', '0.109', '161.5']","['244.840', '0.101223', '0.05415', '0.07575', '22.280', '15.117', '32.7271', '0.495', '1,196.21', '36.088', '1.2540', '16,616.71', '1.028']","['245.270', '0.068143', '0.05446', '0.07191', '24.493', '9.344', '9.8987', '0.524', '1,195.94', '33.130', '1.2650', '16,560.60', '1.044']","['-2.86', '23.95', '-4.15', '4.49', '1.11', '40.12', '22.83', '5.34', '0.57', '9.76', '4.08', '6.12', '2.45']","['(-8.7659%)', '(1,213.6061%)', '(-14.2306%)', '(53.3112%)', '(451.8475%)', '(1,544.6411%)', '(11,530.9613%)', '(110.3895%)', '(1.6950%)', '(178.5624%)', '(17.3913%)', '(25.4105%)', '(29.0148%)']"
801,Side-sleep,-10.65%,-4.63%,+27.52%,-16.46%,-696.68,-429.06,"+2,367.30","-3,230.02",1,['2022-12-30 15:51:23'],['BTCUSDT Perpetual'],['8x'],['Long'],['5'],"['16,367.00']","['16,560.74']",['968.68'],['(9.3588%)']
802,Kimchimin,+11.05%,-24.58%,+499.68%,-166.76%,+381.69,"-1,250.90","+3,095.14","-25,495.76",1,['2022-12-27 01:30:27'],['BTCUSDT Perpetual'],['15x'],['Long'],['4.383'],"['16,856.08']","['16,560.63']","['-1,294.95']",['(-26.7607%)']
803,Anonymous User-68d688,-1.02%,+15.19%,+642.95%,+67.07%,-29.94,+384.85,"+2,785.58","+4,090.14",4,"['2022-12-30 06:31:34', '2022-12-30 06:31:12', '2022-12-30 06:31:25', '2022-12-30 06:31:44']","['BNBUSDT Perpetual', 'DOGEUSDT Perpetual', 'MASKUSDT Perpetual', 'BTCUSDT Perpetual']","['23x', '23x', '20x', '23x']","['Short', 'Short', 'Short', 'Short']","['6.01', '83515', '1488', '0.134']","['241.117', '0.084658', '2.3983', '16,613.26']","['245.300', '0.068149', '2.0215', '16,562.10']","['-25.14', '1,378.69', '560.72', '6.86']","['(-39.2180%)', '(557.1429%)', '(372.8238%)', '(7.1044%)']"
804,Anonymous User-81ba19,+1.05%,+4.91%,+280.50%,-7.37%,+70.07,+315.70,"+5,133.83",-252.92,4,"['2022-12-30 22:06:01', '2022-12-30 22:42:02', '2022-12-30 22:02:01', '2022-12-31 00:57:02']","['ETHUSDT Perpetual', 'ETHUSDT Perpetual', 'BTCUSDT Perpetual', 'BTCUSDT Perpetual']","['100x', '100x', '100x', '100x']","['Long', 'Short', 'Long', 'Short']","['1.81', '5.43', '0.13', '0.39']","['1,199.75', '1,193.21', '16,608.00', '16,501.73']","['1,195.99', '1,195.99', '16,562.20', '16,562.20']","['-6.81', '-15.10', '-5.95', '-23.58']","['(-31.4384%)', '(-23.2443%)', '(-27.6533%)', '(-36.5088%)']"
805,CnTraderT,-5.29%,+4.79%,+97.65%,+134.17%,"-45,650.16","+37,295.54","+685,183.54","+20,080,646.87",3,"['2022-12-28 15:38:09', '2022-12-23 16:51:55', '2022-12-28 15:40:48']","['BNBUSDT Perpetual', 'ETHUSDT Perpetual', 'BTCUSDT Perpetual']","['5x', '10x', '15x']","['Short', 'Short', 'Short']","['8194.45', '1999', '119.413']","['245.673', '1,220.72', '16,835.16']","['245.290', '1,195.99', '16,562.30']","['3,140.08', '49,429.17', '32,582.82']","['(0.7811%)', '(20.6749%)', '(24.7120%)']"
