,trader_name,daily_roi,weekly_roi,monthly_roi,all_roi,daily_pnl,weekly_pnl,monthly_pnl,all_pnl,number_of_trade,traded_open_dates,traded_symbols,traded_leverages,traded_types,traded_size,traded_open_price,traded_market_price,trade_pnl,trade_roi
477,Anonymous User-b62811,+8.71%,+407.49%,+8.71%,+8.83%,+181.53,"+1,291.41",+181.53,"+122,496.43",2,"['2023-01-02 03:33:17', '2023-01-01 14:10:52']","['ADAUSDT Perpetual', 'LINKUSDT Perpetual']","['40x', '40x']","['Long', 'Long']","['199065', '4360.47']","['0.24850', '5.560']","['0.25233', '5.662']","['763.35', '445.92']","['(60.7869%)', '(72.2455%)']"
478,Anonymous User-2bce32,+34.30%,+551.35%,+34.30%,-6.84%,+166.36,+551.35,+166.36,"-180,948.74",0,[],[],[],[],[],[],[],[],[]
479,Anonymous User-02ed1,+562.23%,-32.91%,+562.23%,+6.66%,+562.23,"-3,711.47",+562.23,"+287,322.38",1,['2023-01-03 01:20:30'],['BTCUSDT Perpetual'],['33x'],['Long'],['9.745'],"['16,677.54']","['16,671.40']",['-59.85'],['(-1.2156%)']
480,Anonymous User-b62811,+8.71%,+407.49%,+8.71%,+8.83%,+181.53,"+1,291.41",+181.53,"+122,496.43",2,"['2023-01-02 03:33:17', '2023-01-01 14:10:52']","['ADAUSDT Perpetual', 'LINKUSDT Perpetual']","['40x', '40x']","['Long', 'Long']","['199065', '4360.47']","['0.24850', '5.560']","['0.25233', '5.662']","['761.99', '446.79']","['(60.6809%)', '(72.3848%)']"
481,Anonymous User-2bce32,+34.30%,+551.35%,+34.30%,-6.84%,+166.36,+551.35,+166.36,"-180,948.74",0,[],[],[],[],[],[],[],[],[]
482,Anonymous User-02ed1,+562.23%,-32.91%,+562.23%,+6.66%,+562.23,"-3,711.47",+562.23,"+287,322.38",1,['2023-01-03 01:20:30'],['BTCUSDT Perpetual'],['33x'],['Long'],['9.745'],"['16,677.54']","['16,671.40']",['-59.85'],['(-1.2156%)']
483,Anonymous User-b62811,+8.71%,+407.49%,+8.71%,+8.83%,+181.53,"+1,291.41",+181.53,"+122,496.43",2,"['2023-01-02 03:33:17', '2023-01-01 14:10:52']","['ADAUSDT Perpetual', 'LINKUSDT Perpetual']","['40x', '40x']","['Long', 'Long']","['199065', '4360.47']","['0.24850', '5.560']","['0.25231', '5.663']","['758.14', '450.28']","['(60.3783%)', '(72.9391%)']"
484,Anonymous User-2bce32,+34.30%,+551.35%,+34.30%,-6.84%,+166.36,+551.35,+166.36,"-180,948.74",0,[],[],[],[],[],[],[],[],[]
485,Anonymous User-02ed1,+562.23%,-32.91%,+562.23%,+6.66%,+562.23,"-3,711.47",+562.23,"+287,322.38",1,['2023-01-03 01:20:30'],['BTCUSDT Perpetual'],['33x'],['Long'],['9.745'],"['16,677.54']","['16,671.40']",['-59.85'],['(-1.2156%)']
486,Anonymous User-b62811,+8.71%,+407.49%,+8.71%,+8.83%,+181.53,"+1,291.41",+181.53,"+122,496.43",2,"['2023-01-02 03:33:17', '2023-01-01 14:10:52']","['ADAUSDT Perpetual', 'LINKUSDT Perpetual']","['40x', '40x']","['Long', 'Long']","['199065', '4360.47']","['0.24850', '5.560']","['0.25231', '5.663']","['757.61', '450.28']","['(60.3372%)', '(72.9391%)']"
487,Anonymous User-2bce32,+34.30%,+551.35%,+34.30%,-6.84%,+166.36,+551.35,+166.36,"-180,948.74",0,[],[],[],[],[],[],[],[],[]
488,Anonymous User-02ed1,+562.23%,-32.91%,+562.23%,+6.66%,+562.23,"-3,711.47",+562.23,"+287,322.38",1,['2023-01-03 01:20:30'],['BTCUSDT Perpetual'],['33x'],['Long'],['9.745'],"['16,677.54']","['16,671.40']",['-59.85'],['(-1.2156%)']
